mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_3116,N#CC12CC1CO2,5.99438,2.27301,1.94738,4.5933,55.81,-0.2627,-0.0086,0.2541,650.329,0.090625,-323.338627,-323.33283,-323.331885,-323.368166,21.459,-1226.756249658,-1233.784350458,-1240.30291395,-1147.410874153
gdb_117880,COCC(O)C#CC=O,2.32923,0.75737,0.59946,3.4068,77.34,-0.2697,-0.0657,0.204,1808.5114,0.131823,-458.914682,-458.903948,-458.903004,-458.952489,35.183,-1655.4496906611,-1663.8231707571,-1673.3060867651,-1542.7779396751
gdb_23434,COC1C2CC(=NO)C12,2.7195,1.23126,1.02616,1.292,76.75,-0.2258,0.0156,0.2414,1215.4323,0.146098,-438.996978,-438.988148,-438.987204,-439.030829,32.71,-1694.8202328301,-1705.2770428061,-1715.352954819,-1572.928492107
gdb_61956,CC(CC=O)OCC#C,2.29944,0.85305,0.65285,3.1488,79.5,-0.2438,-0.0199,0.2239,1685.1071,0.154138,-422.988608,-422.977883,-422.976938,-423.026195,36.895,-1838.1721538441,-1848.3290145181,-1858.9972950271,-1712.247412778
gdb_98812,COC(=N)N1CCC1=N,3.03493,1.26316,0.90731,1.9135,77.81,-0.2343,0.0056,0.24,1271.6972,0.147974,-435.272093,-435.262958,-435.262014,-435.306724,32.448,-1706.582261526,-1716.8470537481,-1726.922965761,-1584.819787657
gdb_9898,CC1(CN1)C#CCO,4.74131,0.88921,0.82829,2.1424,74.74,-0.2433,0.028,0.2713,1408.8688,0.140784,-363.798603,-363.789503,-363.788558,-363.833841,31.974,-1610.862038666,-1620.2608684681,-1629.743784476,-1499.223795003
gdb_115208,CCC1CNC(=O)CN1,3.96864,0.95399,0.80842,3.8267,79.57,-0.2147,0.0329,0.2475,1443.7499,0.184782,-420.448349,-420.439193,-420.438249,-420.482505,34.304,-1965.44603926,-1978.363939534,-1990.218839562,-1823.637162877
gdb_58203,CC(C)N(C)C(C)C#N,2.67232,1.04022,0.89888,4.2814,86.63,-0.2256,0.0353,0.2608,1423.2968,0.203639,-384.473357,-384.462368,-384.461424,-384.509176,40.309,-2117.4720171811,-2131.0174264551,-2144.058318493,-1963.5917501651
gdb_62858,CC1(O)C2CC1C(=O)O2,2.93213,1.59934,1.39692,3.9822,67.58,-0.2636,0.0037,0.2673,973.0186,0.136173,-458.980805,-458.973242,-458.972298,-459.012433,30.273,-1696.9424682681,-1707.3057794031,-1716.788695411,-1580.3933391711
gdb_19290,CCC1C2OC2C1O,3.41985,1.75769,1.41476,1.8163,66.73,-0.2497,0.0733,0.323,935.0007,0.153361,-384.900922,-384.893104,-384.89216,-384.932976,29.729,-1686.996450618,-1698.088299702,-1708.164839224,-1566.72682066
gdb_49815,N=C1NC(CC1=O)C=O,2.92175,1.28915,1.01608,4.4494,68.85,-0.2446,-0.0696,0.175,1137.6163,0.112377,-453.982733,-453.974513,-453.973569,-454.017083,29.389,-1537.619815695,-1545.79312042,-1554.090044418,-1435.789537702
gdb_6178,CC(O)C1OC1(C)C,3.4074,1.2863,1.19417,1.1097,71.68,-0.2535,0.0717,0.3252,1137.6138,0.173358,-386.132218,-386.122357,-386.121413,-386.166712,35.765,-1831.7941523681,-1843.381106053,-1854.643637585,-1699.684682598
gdb_107790,CCC12CC3C(C13)C2O,2.5377,1.57679,1.27386,1.5542,81.04,-0.2481,0.0738,0.322,1094.6427,0.182708,-387.047526,-387.039013,-387.038069,-387.080318,33.705,-2011.4769619551,-2024.7996055341,-2036.654505562,-1869.4283771341
gdb_78264,CC1C2C1C1(C)C2N1C,3.25258,1.19644,1.04609,1.2824,87.8,-0.1911,0.0815,0.2726,1281.3478,0.192367,-367.130182,-367.120968,-367.120024,-367.163242,36.219,-2051.0734073641,-2064.8447198781,-2077.292615911,-1902.4554308221
